,genre
5385,pop
10488,techno
710,dance
4945,rock
1322,metal
2555,blues
4451,techno
3139,classical
9468,techno
3867,pop
2918,rock
11271,jazz
7666,country
3857,pop
3868,pop
25,acoustic
3675,country
10604,classical
10611,classical
9039,acoustic
8549,acoustic
5531,acoustic
8601,classical
11551,blues
7517,acoustic
1833,metal
7614,classical
3238,dance
7794,jazz
9355,pop
5439,rock
5730,dance
11229,dance
1707,dance
2693,country
9395,pop
2941,rock
4177,country
4733,dance
6733,dance
4119,classical
3485,techno
1698,country
7160,country
10642,classical
11708,dance
1336,metal
5279,jazz
7013,acoustic
10119,classical
9206,dance
1568,blues
4355,pop
11441,rock
6457,techno
11513,acoustic
3127,classical
6656,country
6644,classical
3723,dance
11688,country
6103,classical
1687,country
9170,country
9347,metal
3727,dance
11540,acoustic
8167,country
1650,country
1083,blues
4827,metal
11770,jazz
5962,techno
9669,country
9086,blues
3076,blues
8773,jazz
5266,jazz
8312,metal
3531,acoustic
1742,dance
4700,dance
6433,rock
4324,metal
6919,rock
1646,classical
377,pop
1630,classical
691,country
832,metal
8448,rock
10994,techno
3880,pop
1114,classical
970,techno
9542,acoustic
7279,jazz
1877,pop
2668,country
7050,blues
9603,classical
6265,jazz
7496,techno
3945,rock
11600,classical
6121,classical
11346,metal
1428,rock
11754,jazz
1722,dance
5484,techno
2509,acoustic
7810,metal
7725,dance
6196,country
8385,pop
8476,techno
6524,acoustic
8057,blues
4300,metal
6896,pop
6954,techno
2466,techno
8574,blues
3663,country
5920,rock
110,classical
10167,country
11470,techno
1932,rock
5443,rock
162,country
419,rock
4564,blues
5354,pop
780,jazz
4988,techno
8032,acoustic
3676,country
2563,blues
1388,pop
1917,rock
10208,dance
11672,country
924,rock
9413,rock
9165,country
9741,dance
8389,pop
9775,jazz
10670,country
7306,metal
570,blues
7240,dance
6851,pop
2614,classical
304,metal
2782,jazz
1594,blues
5863,pop
5003,acoustic
4813,metal
6554,blues
3206,dance
6052,blues
6936,rock
4082,blues
2858,pop
4054,blues
3746,dance
10339,metal
1745,dance
5743,dance
7315,metal
1277,jazz
7950,techno
9407,rock
9783,jazz
11787,jazz
7393,pop
8362,pop
3281,jazz
4062,blues
549,acoustic
5311,metal
7451,techno
1451,techno
4233,dance
1998,techno
8430,rock
10027,acoustic
10854,pop
10989,techno
5153,country
4856,pop
11569,blues
3169,country
8787,jazz
10663,country
10350,pop
8401,rock
4796,jazz
2575,blues
9322,metal
2394,pop
11596,blues
9113,classical
790,jazz
6087,blues
7917,rock
8919,rock
6281,jazz
7154,country
10275,jazz
8047,acoustic
5312,metal
8022,acoustic
4882,pop
3419,rock
748,dance
9796,jazz
2033,acoustic
9457,techno
5242,dance
3800,metal
10363,pop
6290,jazz
234,dance
2598,blues
10589,blues
2208,dance
5833,metal
2983,techno
6793,jazz
5450,techno
9613,classical
1486,techno
4426,rock
9000,acoustic
2388,pop
2338,metal
4467,techno
6866,pop
9859,pop
913,rock
5807,metal
7509,acoustic
11381,pop
11354,pop
10177,country
7665,country
9746,dance
1207,dance
203,dance
4623,classical
11735,dance
10522,acoustic
7507,acoustic
3613,classical
6703,dance
8453,techno
8203,dance
10864,pop
10127,classical
3269,jazz
5271,jazz
5656,country
3247,dance
11299,jazz
1922,rock
2618,classical
1866,pop
1616,classical
1025,acoustic
3275,jazz
3784,jazz
3695,country
3279,jazz
487,techno
10883,pop
5887,pop
8722,dance
10565,blues
10939,rock
1589,blues
3013,acoustic
10772,jazz
11898,pop
4829,metal
7087,blues
390,pop
8964,techno
5642,classical
4833,metal
9159,country
7647,classical
696,country
1888,pop
4447,rock
10922,rock
2554,blues
4208,dance
605,classical
7578,blues
4964,techno
6067,blues
1169,country
7660,country
11826,metal
11356,pop
8028,acoustic
7249,dance
2864,pop
177,country
10205,dance
2149,classical
11618,classical
6113,classical
4486,techno
2442,rock
5518,acoustic
11657,country
8887,pop
11344,metal
680,country
5295,jazz
8442,rock
4048,acoustic
7303,metal
11979,techno
8966,techno
11391,pop
10457,techno
1703,dance
2357,pop
3693,country
11192,country
5091,blues
3380,pop
10777,jazz
11367,pop
1221,dance
9213,dance
9025,acoustic
6643,classical
9719,dance
3208,dance
6391,pop
11619,classical
7933,rock
5900,rock
9449,rock
1938,rock
8349,metal
4338,metal
2387,pop
11110,classical
1117,classical
8847,metal
6541,acoustic
8081,blues
9514,acoustic
3674,country
4235,dance
1955,techno
11843,metal
8201,dance
6166,country
8475,techno
4389,pop
10957,techno
6330,metal
190,country
1580,blues
9079,blues
7,acoustic
5631,classical
854,pop
8377,pop
2993,techno
7397,pop
9981,techno
6452,techno
8359,pop
6631,classical
3167,country
265,jazz
3187,country
4599,blues
6714,dance
4452,techno
5241,dance
3965,techno
2240,dance
1918,rock
37,acoustic
2798,jazz
4094,blues
6314,metal
1299,jazz
10814,metal
4299,jazz
4191,country
5858,pop
7359,pop
7011,acoustic
5461,techno
7968,techno
10847,metal
4584,blues
6659,country
9552,blues
9393,pop
5818,metal
7480,techno
5087,blues
4445,rock
5219,dance
9207,dance
5549,acoustic
3202,dance
7452,techno
10928,rock
11250,jazz
5782,jazz
9811,metal
6144,classical
1333,metal
5222,dance
4970,techno
8073,blues
10201,dance
6297,jazz
66,blues
9703,dance
9558,blues
3791,jazz
5896,pop
7075,blues
726,dance
5084,blues
8119,classical
7260,jazz
8092,blues
4231,dance
3620,classical
130,classical
3996,techno
9338,metal
10394,pop
6360,pop
7433,rock
2161,country
10986,techno
3603,classical
7198,country
9628,classical
6269,jazz
704,dance
856,pop
4934,rock
10564,blues
1595,blues
4896,pop
9864,pop
11656,country
11839,metal
9700,dance
8727,dance
255,jazz
7252,jazz
5395,pop
10116,classical
10333,metal
378,pop
10887,pop
7339,metal
4228,dance
1278,jazz
6518,acoustic
4559,blues
5356,pop
10070,blues
3971,techno
375,pop
2505,acoustic
11643,classical
6872,pop
4904,rock
5207,dance
5100,classical
5571,blues
11097,blues
11802,metal
4992,techno
11588,blues
10692,country
3000,acoustic
4884,pop
186,country
9749,dance
3197,country
3744,dance
7706,dance
7492,techno
170,country
7294,jazz
10377,pop
3449,rock
2711,dance
4133,classical
7582,blues
9440,rock
2460,techno
7384,pop
5819,metal
2527,acoustic
11544,acoustic
8269,jazz
7699,country
5681,country
3511,acoustic
6551,blues
7740,dance
603,classical
2138,classical
9995,techno
7038,acoustic
11080,blues
6489,techno
8996,techno
7610,classical
160,country
9490,techno
7723,dance
3512,acoustic
5333,metal
6482,techno
8619,classical
3117,classical
7987,techno
3268,jazz
6485,techno
4056,blues
6336,metal
5430,rock
6825,metal
9335,metal
634,classical
260,jazz
4087,blues
958,techno
5365,pop
2343,metal
4824,metal
4031,acoustic
10449,rock
5427,rock
4347,metal
3413,rock
4270,jazz
3993,techno
2633,classical
7502,acoustic
9049,acoustic
1418,rock
1075,blues
8540,acoustic
5021,acoustic
6370,pop
1858,pop
1557,blues
1512,acoustic
11752,jazz
947,rock
9890,pop
1608,classical
4081,blues
3142,classical
134,classical
11324,metal
9151,country
3417,rock
1031,acoustic
1183,country
7603,classical
9104,classical
10085,blues
243,dance
9894,pop
11862,pop
9386,pop
380,pop
4942,rock
7335,metal
4937,rock
4155,country
6881,pop
3874,pop
8237,dance
733,dance
1624,classical
896,pop
224,dance
928,rock
7332,metal
8400,rock
8266,jazz
2678,country
2901,rock
5479,techno
6978,techno
274,jazz
9717,dance
11564,blues
2940,rock
1225,dance
7896,pop
10268,jazz
2579,blues
7188,country
2377,pop
1999,techno
9943,rock
6805,metal
10827,metal
2190,country
3271,jazz
8011,acoustic
11464,techno
6792,jazz
2029,acoustic
10978,techno
10794,jazz
5693,country
2093,blues
11253,jazz
6930,rock
5148,classical
9979,techno
10930,rock
3061,blues
1361,pop
10984,techno
9126,classical
6315,metal
4298,jazz
10774,jazz
3839,metal
11189,country
11154,country
2640,classical
6058,blues
5276,jazz
6771,jazz
2808,metal
3499,techno
1621,classical
5883,pop
3985,techno
2319,metal
6126,classical
7400,rock
8824,metal
8126,classical
10071,blues
9858,pop
6421,rock
11684,country
528,acoustic
5055,blues
1044,acoustic
488,techno
6535,acoustic
952,techno
9487,techno
11648,classical
8477,techno
4853,pop
833,metal
5127,classical
8424,rock
3400,rock
2775,jazz
2169,country
3134,classical
9642,classical
10679,country
5710,dance
7575,blues
2256,jazz
11439,rock
9989,techno
506,acoustic
10257,jazz
9957,techno
2124,classical
2302,metal
3365,pop
1045,acoustic
6085,blues
8576,blues
148,classical
3399,pop
2648,classical
4335,metal
2250,jazz
5392,pop
8567,blues
1317,metal
6582,blues
4042,acoustic
11177,country
6226,dance
5581,blues
4774,jazz
3946,rock
6202,dance
4726,dance
5425,rock
454,techno
6799,jazz
4691,country
11450,techno
11379,pop
11443,rock
3479,techno
8370,pop
8386,pop
10258,jazz
1146,classical
347,metal
1216,dance
11292,jazz
4438,rock
9602,classical
8977,techno
1903,rock
5056,blues
3341,metal
10187,country
7264,jazz
7262,jazz
2848,metal
9666,country
9836,metal
5456,techno
2855,pop
8703,dance
11159,country
9966,techno
10946,rock
10693,country
6994,techno
11807,metal
2982,techno
8613,classical
2619,classical
10981,techno
6763,jazz
5976,techno
11211,dance
3322,metal
1310,metal
682,country
2741,dance
3203,dance
1769,jazz
782,jazz
2721,dance
2862,pop
7607,classical
511,acoustic
11604,classical
8055,blues
1513,acoustic
9878,pop
10226,dance
9426,rock
7072,blues
5340,metal
9660,country
10975,techno
5433,rock
4680,country
3270,jazz
3450,techno
10690,country
7976,techno
4210,dance
512,acoustic
10219,dance
4793,jazz
11845,metal
1928,rock
933,rock
5813,metal
6572,blues
2761,jazz
1700,dance
11227,dance
4053,blues
9887,pop
1631,classical
11017,acoustic
3741,dance
1647,classical
7354,pop
8234,dance
10716,dance
2011,acoustic
1838,metal
6495,techno
4169,country
2475,techno
739,dance
1896,pop
11798,jazz
9387,pop
7187,country
10673,country
2541,acoustic
3637,classical
2926,rock
9576,blues
6033,acoustic
1194,country
9782,jazz
912,rock
10197,country
1275,jazz
998,techno
3291,jazz
8761,jazz
10403,rock
10364,pop
169,country
1542,acoustic
5552,blues
7846,metal
5844,metal
7170,country
2242,dance
10853,pop
525,acoustic
10395,pop
10504,acoustic
11015,acoustic
4629,classical
4641,classical
2299,jazz
8580,blues
10933,rock
496,techno
10970,techno
3426,rock
11052,blues
8942,rock
8606,classical
11699,country
3669,country
793,jazz
117,classical
1004,acoustic
8836,metal
11198,country
2140,classical
8124,classical
9676,country
6822,metal
4415,rock
359,pop
2582,blues
11989,techno
1445,rock
8409,rock
4061,blues
9636,classical
4109,classical
7112,classical
5103,classical
11561,blues
401,rock
4507,acoustic
4512,acoustic
9157,country
5184,country
9922,rock
11363,pop
4142,classical
11449,rock
2521,acoustic
7045,acoustic
517,acoustic
5667,country
11393,pop
6321,metal
9483,techno
5639,classical
8944,rock
753,jazz
6218,dance
12,acoustic
11870,pop
4666,country
10124,classical
6821,metal
4126,classical
5057,blues
8493,techno
2910,rock
3683,country
7804,metal
4768,jazz
5604,classical
2440,rock
11164,country
1665,country
2192,country
6729,dance
332,metal
1508,acoustic
11389,pop
5850,pop
2293,jazz
4725,dance
8673,country
1105,classical
6341,metal
5842,metal
4831,metal
3503,acoustic
4060,blues
11808,metal
3193,country
4718,dance
3163,country
9802,metal
3539,acoustic
4617,classical
86,blues
3265,jazz
3767,jazz
5582,blues
9249,dance
4653,country
9949,rock
2591,blues
7612,classical
4818,metal
7673,country
10527,acoustic
10570,blues
1426,rock
6171,country
11557,blues
48,acoustic
7392,pop
10154,country
10945,rock
8570,blues
11782,jazz
1489,techno
3024,acoustic
6110,classical
9712,dance
4799,jazz
3612,classical
1878,pop
3665,country
1540,acoustic
1718,dance
1740,dance
3195,country
1766,jazz
2091,blues
2634,classical
9458,techno
6532,acoustic
8611,classical
11558,blues
672,country
4238,dance
9961,techno
11776,jazz
141,classical
4175,country
1042,acoustic
8928,rock
3785,jazz
8795,jazz
10168,country
11683,country
3032,acoustic
2095,blues
9776,jazz
9353,pop
10263,jazz
7572,blues
310,metal
6581,blues
1227,dance
7728,dance
1323,metal
4679,country
5320,metal
6408,rock
4699,country
11650,country
10966,techno
7605,classical
9200,dance
1491,techno
9870,pop
1604,classical
24,acoustic
10338,metal
6001,acoustic
2531,acoustic
2434,rock
6282,jazz
5983,techno
6245,dance
582,blues
6230,dance
7223,dance
1897,pop
898,pop
6302,metal
10396,pop
8223,dance
2523,acoustic
3636,classical
11401,rock
6097,blues
6075,blues
3421,rock
11456,techno
5970,techno
441,rock
7814,metal
7911,rock
1319,metal
3401,rock
4139,classical
7055,blues
3801,metal
4573,blues
3138,classical
7861,pop
5179,country
11800,metal
2769,jazz
11451,techno
9962,techno
4708,dance
3932,rock
6285,jazz
879,pop
8187,country
1359,pop
11696,country
10650,country
10227,dance
4850,pop
4295,jazz
3382,pop
2908,rock
3348,metal
8913,rock
2734,dance
8816,metal
826,metal
3662,country
2764,jazz
7934,rock
7781,jazz
10336,metal
5956,techno
323,metal
6431,rock
7155,country
8714,dance
533,acoustic
3335,metal
5969,techno
4914,rock
9263,jazz
434,rock
11430,rock
6812,metal
335,metal
8967,techno
8885,pop
7457,techno
8820,metal
4605,classical
700,dance
9877,pop
11514,acoustic
7718,dance
3515,acoustic
6120,classical
4430,rock
2740,dance
3526,acoustic
6394,pop
5899,pop
10442,rock
10015,acoustic
10771,jazz
8044,acoustic
5064,blues
9801,metal
4240,dance
2689,country
11856,pop
5428,rock
6339,metal
7033,acoustic
11247,dance
5703,dance
6700,dance
11094,blues
2321,metal
749,dance
11810,metal
6680,country
10194,country
10686,country
1759,jazz
11070,blues
3458,techno
3818,metal
5283,jazz
2247,dance
6742,dance
7222,dance
11217,dance
1626,classical
7122,classical
1633,classical
11738,dance
11440,rock
2831,metal
1073,blues
1071,blues
8271,jazz
165,country
1052,blues
3926,rock
6026,acoustic
272,jazz
11003,acoustic
760,jazz
10743,dance
1243,dance
1028,acoustic
8578,blues
11788,jazz
7680,country
4640,classical
8610,classical
7106,classical
7523,acoustic
4756,jazz
4878,pop
7412,rock
7576,blues
5006,acoustic
983,techno
10829,metal
4030,acoustic
7145,classical
1484,techno
3527,acoustic
10174,country
5846,metal
4381,pop
9394,pop
4585,blues
2665,country
5543,acoustic
4058,blues
7778,jazz
4140,classical
4900,rock
11772,jazz
8091,blues
10292,jazz
11774,jazz
8902,rock
2945,rock
9554,blues
8357,pop
10386,pop
2859,pop
3964,techno
670,country
449,rock
2493,techno
11308,metal
4671,country
8010,acoustic
1235,dance
9188,country
1431,rock
4846,metal
11892,pop
3812,metal
2311,metal
11126,classical
10094,blues
2989,techno
363,pop
6865,pop
5985,techno
7872,pop
7888,pop
4798,jazz
1710,dance
11515,acoustic
1723,dance
9756,jazz
959,techno
10279,jazz
9534,acoustic
10605,classical
51,blues
4897,pop
6352,pop
7657,country
7336,metal
5290,jazz
7396,pop
5652,country
1309,metal
11305,metal
3310,metal
6991,techno
10228,dance
5470,techno
7643,classical
11418,rock
2932,rock
8116,classical
7789,jazz
7043,acoustic
7414,rock
6494,techno
4490,techno
11433,rock
4280,jazz
6374,pop
5946,rock
7721,dance
7587,blues
9517,acoustic
2794,jazz
8940,rock
8832,metal
5232,dance
2641,classical
5628,classical
5415,rock
2398,pop
6724,dance
10412,rock
7235,dance
4859,pop
1510,acoustic
1412,rock
7390,pop
10595,blues
93,blues
5806,metal
7524,acoustic
3012,acoustic
2151,country
7079,blues
5305,metal
3599,blues
1923,rock
8983,techno
7129,classical
5570,blues
8934,rock
7873,pop
3038,acoustic
6567,blues
1325,metal
248,dance
1949,rock
371,pop
8432,rock
10493,techno
720,dance
8575,blues
9467,techno
11149,classical
3395,pop
3481,techno
4746,dance
1887,pop
10863,pop
8778,jazz
11223,dance
9888,pop
2051,blues
6766,jazz
2691,country
6562,blues
7427,rock
4022,acoustic
6347,metal
8294,jazz
11507,acoustic
5175,country
4224,dance
6479,techno
1053,blues
6288,jazz
8190,country
8245,dance
2825,metal
5944,rock
4663,country
7024,acoustic
5535,acoustic
7068,blues
6240,dance
6112,classical
8592,blues
4258,jazz
6584,blues
4343,metal
9060,blues
8071,blues
6512,acoustic
8429,rock
6686,country
6997,techno
8405,rock
6682,country
2079,blues
524,acoustic
5079,blues
4241,dance
9429,rock
8264,jazz
9795,jazz
3490,techno
8074,blues
7594,blues
436,rock
6802,metal
5045,acoustic
5724,dance
11280,jazz
10459,techno
10979,techno
5412,rock
2036,acoustic
10804,metal
7226,dance
1685,country
3782,jazz
6086,blues
6029,acoustic
4608,classical
11240,dance
5624,classical
8920,rock
9640,classical
2081,blues
5879,pop
6654,country
3460,techno
1871,pop
5640,classical
7717,dance
7376,pop
2160,country
2337,metal
3968,techno
10834,metal
11812,metal
6090,blues
5519,acoustic
5705,dance
11403,rock
10427,rock
11059,blues
11581,blues
7103,classical
11283,jazz
11048,acoustic
62,blues
6646,classical
9960,techno
8515,acoustic
7340,metal
3950,techno
9411,rock
11767,jazz
7825,metal
9285,jazz
7897,pop
10992,techno
3649,classical
3474,techno
11357,pop
3159,country
1554,blues
8647,classical
3451,techno
5236,dance
3028,acoustic
7135,classical
5488,techno
8640,classical
3886,pop
1379,pop
7030,acoustic
7769,jazz
7759,jazz
10882,pop
1184,country
8158,country
9684,country
5583,blues
3008,acoustic
7419,rock
7734,dance
6901,rock
7369,pop
8154,country
8327,metal
2981,techno
11706,dance
3277,jazz
10874,pop
5911,rock
11338,metal
4823,metal
5200,dance
4017,acoustic
11306,metal
7111,classical
2275,jazz
5027,acoustic
4306,metal
6750,jazz
5826,metal
9129,classical
10321,metal
8036,acoustic
5768,jazz
8880,pop
1026,acoustic
1330,metal
955,techno
10610,classical
9048,acoustic
1095,blues
187,country
1223,dance
7229,dance
11325,metal
7347,metal
4387,pop
10182,country
4428,rock
11854,pop
302,metal
2144,classical
5170,country
4636,classical
466,techno
1811,metal
4008,acoustic
6925,rock
1947,rock
5376,pop
4758,jazz
11713,dance
11352,pop
9737,dance
94,blues
5212,dance
9138,classical
10665,country
5720,dance
2121,classical
7916,rock
7905,rock
7849,metal
4357,pop
9370,pop
5753,jazz
714,dance
715,dance
1963,techno
10634,classical
2188,country
9768,jazz
5381,pop
8105,classical
10115,classical
2364,pop
4371,pop
4157,country
9002,acoustic
6593,blues
10525,acoustic
4372,pop
3607,classical
1416,rock
6871,pop
9667,country
9476,techno
9637,classical
1164,country
3072,blues
10265,jazz
1892,pop
4069,blues
5208,dance
3972,techno
3440,rock
10824,metal
8689,country
10319,metal
7007,acoustic
3357,pop
5112,classical
10185,country
11067,blues
3719,dance
8858,pop
11035,acoustic
993,techno
9431,rock
9819,metal
9008,acoustic
11166,country
2215,dance
6591,blues
9546,acoustic
8270,jazz
5694,country
8633,classical
9201,dance
4750,jazz
10542,acoustic
3919,rock
1001,acoustic
1192,country
3495,techno
815,metal
403,rock
8020,acoustic
4076,blues
7670,country
3453,techno
5732,dance
1340,metal
6628,classical
2584,blues
8810,metal
2355,pop
8499,techno
8008,acoustic
4379,pop
3906,rock
5746,dance
6332,metal
3097,blues
6999,techno
156,country
8543,acoustic
6004,acoustic
3250,jazz
5085,blues
1832,metal
9046,acoustic
2287,jazz
6520,acoustic
8311,metal
5009,acoustic
8041,acoustic
2446,rock
9040,acoustic
268,jazz
11082,blues
6693,country
10308,metal
632,classical
3471,techno
2422,rock
2620,classical
663,country
8654,country
9329,metal
5984,techno
207,dance
2252,jazz
4741,dance
8112,classical
4219,dance
7464,techno
2994,techno
10484,techno
7748,dance
6824,metal
2491,techno
9590,blues
7230,dance
6350,pop
9020,acoustic
2152,country
5739,dance
4144,classical
3794,jazz
4654,country
140,classical
8181,country
10289,jazz
4504,acoustic
1695,country
2578,blues
3622,classical
2520,acoustic
5825,metal
3007,acoustic
8192,country
10155,country
11606,classical
6755,jazz
565,blues
7345,metal
4360,pop
11823,metal
4764,jazz
4359,pop
2082,blues
5673,country
6720,dance
356,pop
1233,dance
6537,acoustic
6740,dance
1014,acoustic
8740,dance
8636,classical
7300,metal
353,pop
10991,techno
1032,acoustic
6091,blues
10572,blues
9862,pop
473,techno
10200,dance
5704,dance
3340,metal
57,blues
11741,dance
4721,dance
149,classical
2514,acoustic
11536,acoustic
6319,metal
587,blues
6914,rock
4558,blues
11371,pop
3258,jazz
3821,metal
7105,classical
8439,rock
10398,pop
87,blues
8383,pop
7333,metal
10037,acoustic
9376,pop
9574,blues
3212,dance
10285,jazz
4888,pop
9390,pop
6677,country
10305,metal
10075,blues
9947,rock
10195,country
4912,rock
10823,metal
10239,dance
3123,classical
3593,blues
10158,country
9007,acoustic
10181,country
6102,classical
11274,jazz
5888,pop
4057,blues
10537,acoustic
10304,metal
4454,techno
4961,techno
10086,blues
2851,pop
10238,dance
6856,pop
9860,pop
761,jazz
376,pop
8364,pop
3080,blues
11448,rock
2048,acoustic
6348,metal
7553,blues
611,classical
10107,classical
9380,pop
671,country
2936,rock
8910,rock
871,pop
3074,blues
4252,jazz
546,acoustic
7957,techno
5655,country
5157,country
2829,metal
1269,jazz
3793,jazz
6043,acoustic
200,dance
4167,country
8138,classical
2172,country
7004,acoustic
5951,techno
369,pop
10274,jazz
8731,dance
1290,jazz
4214,dance
9622,classical
8469,techno
9658,country
8518,acoustic
11844,metal
2118,classical
6119,classical
3721,dance
2812,metal
5052,blues
9208,dance
11399,pop
2787,jazz
2324,metal
3634,classical
737,dance
10940,rock
6641,classical
9779,jazz
3492,techno
8524,acoustic
1348,metal
9614,classical
10240,dance
4137,classical
1236,dance
5158,country
9758,jazz
7156,country
11745,dance
10358,pop
3745,dance
4391,pop
10389,pop
6818,metal
576,blues
765,jazz
11655,country
2698,country
1997,techno
2933,rock
8337,metal
3823,metal
3533,acoustic
9216,dance
608,classical
7065,blues
11194,country
4547,acoustic
4469,techno
2759,jazz
3795,jazz
174,country
9065,blues
9033,acoustic
10141,classical
7782,jazz
5585,blues
1784,jazz
1195,country
463,techno
7729,dance
1327,metal
1911,rock
10003,acoustic
4449,rock
8794,jazz
1009,acoustic
9653,country
8443,rock
3579,blues
3386,pop
890,pop
11532,acoustic
9043,acoustic
699,country
6514,acoustic
7701,dance
919,rock
1535,acoustic
8512,acoustic
10828,metal
8599,blues
4851,pop
6355,pop
7242,dance
8302,metal
6477,techno
2967,techno
184,country
1873,pop
4213,dance
4064,blues
5700,dance
7646,classical
9228,dance
4253,jazz
9550,blues
6191,country
8838,metal
2204,dance
10573,blues
813,metal
3398,pop
1835,metal
4974,techno
319,metal
9630,classical
10391,pop
1893,pop
5804,metal
2602,classical
7120,classical
1436,rock
3434,rock
526,acoustic
4626,classical
7850,pop
3486,techno
7843,metal
4012,acoustic
7401,rock
215,dance
7817,metal
2488,techno
6967,techno
4320,metal
7831,metal
7668,country
1402,rock
6268,jazz
1969,techno
10415,rock
5689,country
9117,classical
6455,techno
8420,rock
2625,classical
5672,country
7289,jazz
1628,classical
1294,jazz
666,country
6449,rock
6109,classical
9573,blues
4582,blues
1785,jazz
5292,jazz
2055,blues
7602,classical
254,jazz
8238,dance
1541,acoustic
6696,country
7245,dance
9180,country
10022,acoustic
9831,metal
6483,techno
5041,acoustic
11743,dance
8149,classical
10215,dance
7171,country
7166,country
734,dance
9161,country
5324,metal
6432,rock
4771,jazz
3592,blues
5193,country
8012,acoustic
577,blues
4936,rock
5347,metal
11239,dance
6337,metal
8769,jazz
6899,pop
8130,classical
552,blues
4482,techno
4901,rock
9945,rock
9577,blues
7931,rock
3050,blues
2696,country
9813,metal
11416,rock
5259,jazz
3204,dance
2884,pop
9194,country
2732,dance
5847,metal
2206,dance
5815,metal
1598,blues
10993,techno
7531,acoustic
825,metal
8862,pop
6344,metal
5072,blues
9437,rock
975,techno
10951,techno
1495,techno
2080,blues
2846,metal
10105,classical
8784,jazz
10369,pop
6690,country
5758,jazz
7988,techno
1777,jazz
8059,blues
1605,classical
10880,pop
9530,acoustic
7012,acoustic
6706,dance
10636,classical
1049,acoustic
10756,jazz
6195,country
